station,time,train,platform,route,delayedTime,information,timestampScraping
Karlsruhe Hbf,14:47,STR 2,Karlsruhe Bahnhofsvorplatz,"Karlsruhe Bahnhofsvorplatz 14:47 - Ebertstraße, Karlsruhe 14:48",14:48,,2021-12-24 14:47:31.270612
Karlsruhe Hbf,14:47,Bus 55,"Hauptbahnhof (Vorplatz), Karlsruhe","Hauptbahnhof (Vorplatz), Karlsruhe 14:47 - Ebertstraße, Karlsruhe 14:49 - Kolpingplatz, Karlsruhe 14:51 - Südendschule, Karlsruhe 14:53",,,2021-12-24 14:47:31.272243
Karlsruhe Hbf,14:47,S 8,Karlsruhe Bahnhofsvorplatz,"Karlsruhe Bahnhofsvorplatz 14:47 - Poststraße, Karlsruhe 14:48",14:47,,2021-12-24 14:47:31.273639
Karlsruhe Hbf,14:48,Bus 55,"Hauptbahnhof (Vorplatz), Karlsruhe","Hauptbahnhof (Vorplatz), Karlsruhe 14:48 - Ebertstraße, Karlsruhe 14:49 - Kolpingplatz, Karlsruhe 14:51 - Südendschule, Karlsruhe 14:53",14:48,,2021-12-24 14:47:31.274978
Karlsruhe Hbf,14:50,S 32,8,Karlsruhe Hbf 14:50 - Karlsruhe-Durlach 14:56,,,2021-12-24 14:47:31.276156
Karlsruhe Hbf,14:51,ICE 72,3,Karlsruhe Hbf 14:51 - Mannheim Hbf 15:14 - Frankfurt(Main)Hbf 15:52 - Kassel-Wilhelmshöhe 17:19 - Göttingen 17:38 - Hannover Hbf 18:17 - Hamburg Hbf 19:35 - Hamburg Dammtor 19:41 - Hamburg-Altona 19:50,14:51,,2021-12-24 14:47:31.277674
Karlsruhe Hbf,14:52,STR 2,Karlsruhe Bahnhofsvorplatz,"Karlsruhe Bahnhofsvorplatz 14:52 - Poststraße, Karlsruhe 14:53",14:53,,2021-12-24 14:47:31.278912
Karlsruhe Hbf,14:53,Bus 47,"Hauptbahnhof (Vorplatz), Karlsruhe","Hauptbahnhof (Vorplatz), Karlsruhe 14:53 - Poststraße, Karlsruhe 14:54 - Durlach Zündhütle, Karlsruhe 15:01 - Wolfartsweier Nord, Karlsruhe 15:02",,,2021-12-24 14:47:31.280131
Karlsruhe Hbf,14:53,S 1,Karlsruhe Bahnhofsvorplatz,Karlsruhe Bahnhofsvorplatz 14:53 - Karlsruhe Albtalbahnhof 14:54,14:53,,2021-12-24 14:47:31.281431
Karlsruhe Hbf,14:54,TGV 9583,4,Karlsruhe Hbf 14:54 - Mannheim Hbf 15:18 - Frankfurt(Main)Hbf 15:58,14:56,,2021-12-24 14:47:31.282512
Karlsruhe Hbf,14:57,STR 3,Karlsruhe Bahnhofsvorplatz,"Karlsruhe Bahnhofsvorplatz 14:57 - Ebertstraße, Karlsruhe 14:58",14:58,,2021-12-24 14:47:31.283682
Karlsruhe Hbf,14:57,Bus 50,"Hauptbahnhof (Vorplatz), Karlsruhe","Hauptbahnhof (Vorplatz), Karlsruhe 14:57 - Ebertstraße, Karlsruhe 14:59 - Barbarossaplatz, Karlsruhe 15:00 - Gebhardstraße, Karlsruhe 15:01",,,2021-12-24 14:47:31.284999
Karlsruhe Hbf,14:57,S 4,Karlsruhe Bahnhofsvorplatz,"Karlsruhe Bahnhofsvorplatz 14:57 - Poststraße, Karlsruhe 14:58",,,2021-12-24 14:47:31.286288
Karlsruhe Hbf,14:58,S 3,12,Karlsruhe Hbf 14:58 - Karlsruhe-Durlach 15:02,14:58,,2021-12-24 14:47:31.287361
Karlsruhe Hbf,14:58,Bus 50,"Hauptbahnhof (Vorplatz), Karlsruhe","Hauptbahnhof (Vorplatz), Karlsruhe 14:58 - Ebertstraße, Karlsruhe 14:59 - Barbarossaplatz, Karlsruhe 15:00 - Gebhardstraße, Karlsruhe 15:01",,,2021-12-24 14:47:31.288529
Karlsruhe Hbf,14:59,Bus 62,"Hauptbahnhof (Vorplatz), Karlsruhe","Hauptbahnhof (Vorplatz), Karlsruhe 14:59 - Ebertstraße, Karlsruhe 15:01 - Welfenstraße, Karlsruhe 15:03 - Beiertheim West, Karlsruhe 15:04",,,2021-12-24 14:47:31.289711
Karlsruhe Hbf,15:00,ICE 107,2,Karlsruhe Hbf 15:00 - Offenburg 15:29 - Freiburg(Breisgau) Hbf 16:00 - Basel Bad Bf 16:35 - Basel SBB 16:47,15:00,,2021-12-24 14:47:31.290848
Karlsruhe Hbf,15:00,ICE 106,3,Karlsruhe Hbf 15:00 - Mannheim Hbf 15:24 - Frankfurt(M) Flughafen Fernbf 16:06 - Siegburg/Bonn 16:47 - Köln Hbf 17:04,15:00,,2021-12-24 14:47:31.292042
Karlsruhe Hbf,15:00,Bus 62,"Hauptbahnhof (Vorplatz), Karlsruhe","Hauptbahnhof (Vorplatz), Karlsruhe 15:00 - Ebertstraße, Karlsruhe 15:01 - Welfenstraße, Karlsruhe 15:03 - Beiertheim West, Karlsruhe 15:04",15:00,,2021-12-24 14:47:31.293537
Karlsruhe Hbf,15:02,STR 3,Karlsruhe Bahnhofsvorplatz,"Karlsruhe Bahnhofsvorplatz 15:02 - Poststraße, Karlsruhe 15:03",15:02,,2021-12-24 14:47:31.294783
Karlsruhe Hbf,15:03,S 11,Karlsruhe Bahnhofsvorplatz,Karlsruhe Bahnhofsvorplatz 15:03 - Karlsruhe Albtalbahnhof 15:04,15:04,,2021-12-24 14:47:31.295967
Karlsruhe Hbf,15:05,RE 6 (12026),102,Karlsruhe Hbf 15:05 - Wörth(Rhein) 15:14 - Kandel 15:22 - Winden(Pfalz) 15:28 - Landau(Pfalz)Hbf 15:37 - Neustadt(Weinstr)Hbf 15:51,15:05,,2021-12-24 14:47:31.297325
Karlsruhe Hbf,15:05,S 11,Karlsruhe Bahnhofsvorplatz,"Karlsruhe Bahnhofsvorplatz 15:05 - Poststraße, Karlsruhe 15:06",15:05,,2021-12-24 14:47:31.298609
Karlsruhe Hbf,15:06,IC 2161,10,Karlsruhe Hbf 15:06 - Pforzheim Hbf 15:25 - Mühlacker 15:35 - Vaihingen(Enz) 15:42 - Stuttgart Hbf 16:02 - Schwäbisch Gmünd 16:40 - Aalen Hbf 16:57 - Ellwangen 17:08 - Crailsheim 17:23 - Ansbach 17:49 - Nürnberg Hbf 18:18,,,2021-12-24 14:47:31.299725
Karlsruhe Hbf,15:07,RE 2 (4731),11,Karlsruhe Hbf 15:07 - Rastatt 15:20 - Baden-Baden 15:30,15:07,,2021-12-24 14:47:31.300946
Karlsruhe Hbf,15:07,STR 2,Karlsruhe Bahnhofsvorplatz,"Karlsruhe Bahnhofsvorplatz 15:07 - Ebertstraße, Karlsruhe 15:08",15:08,,2021-12-24 14:47:31.302111
Karlsruhe Hbf,15:10,IC 2184,7,Karlsruhe Hbf 15:10 - Bruchsal 15:21 - Wiesloch-Walldorf 15:33 - Heidelberg Hbf 15:44 - Weinheim(Bergstr)Hbf 15:58 - Bensheim 16:08 - Darmstadt Hbf 16:22 - Frankfurt(Main)Hbf 16:40 - Frankfurt(Main)West 16:53 - Friedberg(Hess) 17:15 - Gießen 17:33 - Marburg(Lahn) 17:49 - Treysa 18:14 - Wabern(Bz Kassel) 18:32 - Kassel-Wilhelmshöhe 18:54 - Göttingen 19:16 - Hannover Hbf 19:56 - Celle 20:17 - Uelzen 20:40 - Lüneburg 20:56 - Hamburg-Harburg 21:16 - Hamburg Hbf 21:29 - Hamburg Dammtor 21:36 - Hamburg-Altona 21:46,,,2021-12-24 14:47:31.303231
Karlsruhe Hbf,15:10,S 31,13,Karlsruhe Hbf 15:10 - Karlsruhe-Durlach 15:16,,,2021-12-24 14:47:31.304448
Karlsruhe Hbf,15:11,ICE 75,2,Karlsruhe Hbf 15:11 - Baden-Baden 15:26 - Freiburg(Breisgau) Hbf 16:11 - Basel Bad Bf 16:46 - Basel SBB 16:55 - Zürich HB 18:00 - Sargans 19:03 - Landquart 19:12 - Chur 19:23,,Fahrt fällt aus,2021-12-24 14:47:31.305742
Karlsruhe Hbf,15:11,S 8,Karlsruhe Bahnhofsvorplatz,Karlsruhe Bahnhofsvorplatz 15:11 - Karlsruhe Albtalbahnhof 15:12,,,2021-12-24 14:47:31.307064
Karlsruhe Hbf,15:11,ICE 2879,2,Karlsruhe Hbf 15:11 - Baden-Baden 15:26 - Freiburg(Breisgau) Hbf 16:11 - Basel Bad Bf 16:46 - Basel SBB 16:55 - Zürich HB 18:00 - Sargans 19:03 - Landquart 19:12 - Chur 19:23,15:18,Ersatzfahrt für,2021-12-24 14:47:31.308765
Karlsruhe Hbf,15:12,TGV 9580,1,Karlsruhe Hbf 15:12 - Baden-Baden 15:34 - Strasbourg 16:01 - Mulhouse Ville 17:05,15:12,,2021-12-24 14:47:31.310258
Karlsruhe Hbf,15:12,STR 2,Karlsruhe Bahnhofsvorplatz,"Karlsruhe Bahnhofsvorplatz 15:12 - Poststraße, Karlsruhe 15:13",15:13,,2021-12-24 14:47:31.311490
Karlsruhe Hbf,15:13,Bus 47,"Hauptbahnhof (Vorplatz), Karlsruhe","Hauptbahnhof (Vorplatz), Karlsruhe 15:13 - Poststraße, Karlsruhe 15:14 - Durlach Zündhütle, Karlsruhe 15:21 - Wolfartsweier Nord, Karlsruhe 15:22",,,2021-12-24 14:47:31.313005
Karlsruhe Hbf,15:13,S 1,Karlsruhe Bahnhofsvorplatz,Karlsruhe Bahnhofsvorplatz 15:13 - Karlsruhe Albtalbahnhof 15:14,15:13,,2021-12-24 14:47:31.314536
Karlsruhe Hbf,15:13,S 71,5,Karlsruhe Hbf 15:13 - Ettlingen West 15:18,15:14,,2021-12-24 14:47:31.315989
Karlsruhe Hbf,15:17,STR 3,Karlsruhe Bahnhofsvorplatz,"Karlsruhe Bahnhofsvorplatz 15:17 - Ebertstraße, Karlsruhe 15:18",15:18,,2021-12-24 14:47:31.317822
Karlsruhe Hbf,15:17,Bus 50,"Hauptbahnhof (Vorplatz), Karlsruhe","Hauptbahnhof (Vorplatz), Karlsruhe 15:17 - Ebertstraße, Karlsruhe 15:19 - Barbarossaplatz, Karlsruhe 15:20 - Gebhardstraße, Karlsruhe 15:21",,,2021-12-24 14:47:31.319865
Karlsruhe Hbf,15:17,Bus 55,"Hauptbahnhof (Vorplatz), Karlsruhe","Hauptbahnhof (Vorplatz), Karlsruhe 15:17 - Ebertstraße, Karlsruhe 15:19 - Kolpingplatz, Karlsruhe 15:21 - Südendschule, Karlsruhe 15:23",,,2021-12-24 14:47:31.321756
Karlsruhe Hbf,15:18,Bus 50,"Hauptbahnhof (Vorplatz), Karlsruhe","Hauptbahnhof (Vorplatz), Karlsruhe 15:18 - Ebertstraße, Karlsruhe 15:19 - Barbarossaplatz, Karlsruhe 15:20 - Gebhardstraße, Karlsruhe 15:21",,,2021-12-24 14:47:31.323398
